hdl:1902.1/00555	development of achievement motivation
hdl:1902.1/10932	social attitudes
hdl:1902.1/10932	social values
hdl:1902.1/10932	consumer attitudes
hdl:1902.1/10932	newspapers
hdl:1902.1/10932	food
hdl:1902.1/10932	education
hdl:1902.1/10932	furniture
hdl:1902.1/10932	public opinion
hdl:1902.1/10932	radios
hdl:1902.1/10969	home ownership
hdl:1902.1/10969	products
hdl:1902.1/10969	restaurants
hdl:1902.1/10969	political ideologies
hdl:1902.1/10969	occupation
hdl:1902.1/10969	health insurance
hdl:1902.1/10969	marketing
hdl:1902.1/10969	media use
hdl:1902.1/10969	biographical data
hdl:1902.1/10969	trust
hdl:1902.1/10969	property repairs
hdl:1902.1/10969	shopping
hdl:1902.1/10969	newspapers
hdl:1902.1/10969	food
hdl:1902.1/10969	consumer attitudes
hdl:1902.1/10969	social values
hdl:1902.1/10969	social attitudes
hdl:1902.1/10969	research
hdl:1902.1/10969	news media
hdl:1902.1/10969	leisure
hdl:1902.1/10969	psychographics
hdl:1902.1/10969	medical care
hdl:1902.1/10969	personal income
hdl:1902.1/10969	banking
hdl:1902.1/10969	television viewing
hdl:1902.1/10969	perceptions
hdl:1902.1/10969	attitudes
hdl:1902.1/10969	consumer behavior
hdl:1902.1/10969	education
hdl:1902.1/10969	furniture
hdl:1902.1/10969	public opinion
hdl:1902.1/10969	radios
hdl:1902.1/10969	automobile ownership
hdl:1902.1/10969	durable goods
hdl:1902.1/10969	consumer purchases
hdl:1902.1/10969	womens movement
hdl:1902.1/11003	automobile ownership
hdl:1902.1/11003	property repairs
hdl:1902.1/11003	shopping
hdl:1902.1/11003	newspapers
hdl:1902.1/11003	food
hdl:1902.1/11003	consumer attitudes
hdl:1902.1/11003	social values
hdl:1902.1/11003	social attitudes
hdl:1902.1/11003	research
hdl:1902.1/11003	news media
hdl:1902.1/11003	leisure
hdl:1902.1/11003	psychographics
hdl:1902.1/11003	medical care
hdl:1902.1/11003	trust
hdl:1902.1/11003	biographical data
hdl:1902.1/11003	media use
hdl:1902.1/11003	marketing
hdl:1902.1/11003	health insurance
hdl:1902.1/11003	occupation
hdl:1902.1/11003	political ideologies
hdl:1902.1/11003	restaurants
hdl:1902.1/11003	products
hdl:1902.1/11003	personal income
hdl:1902.1/11003	banking
hdl:1902.1/11003	television viewing
hdl:1902.1/11003	perceptions
hdl:1902.1/11003	attitudes
hdl:1902.1/11003	consumer behavior
hdl:1902.1/11003	education
hdl:1902.1/11003	furniture
hdl:1902.1/11003	public opinion
hdl:1902.1/11003	radios
hdl:1902.1/11003	durable goods
hdl:1902.1/11003	consumer purchases
hdl:1902.1/11003	womens movement
hdl:1902.1/11003	home ownership
hdl:1902.1/12183	boosting
hdl:1902.1/12183	conflict
hdl:1902.1/12183	learning
hdl:1902.1/12183	tenure
hdl:1902.1/12183	neural networks
hdl:1902.1/12552	medigap insurance
hdl:1902.1/12552	indian health service
hdl:1902.1/12552	private health insurance
hdl:1902.1/12552	single service plan
hdl:1902.1/12552	state
hdl:1902.1/12552	centers for disease control and prevention
hdl:1902.1/12552	cdc
hdl:1902.1/12552	slaits
hdl:1902.1/12552	special health care needs
hdl:1902.1/12552	child
hdl:1902.1/12552	medical care
hdl:1902.1/12552	mental health
hdl:1902.1/12552	educational services
hdl:1902.1/12552	prescription medicine
hdl:1902.1/12552	physical therapy
hdl:1902.1/12552	occupational therapy
hdl:1902.1/12552	speech therapy
hdl:1902.1/12552	emotional problem
hdl:1902.1/12552	developmental problem
hdl:1902.1/12552	behavioral problem
hdl:1902.1/12552	early intervention services
hdl:1902.1/12552	special educational services
hdl:1902.1/12552	preventative care
hdl:1902.1/12552	well-child visit
hdl:1902.1/12552	doctor's office
hdl:1902.1/12552	hospital
hdl:1902.1/12552	emergency room
hdl:1902.1/12552	clinic
hdl:1902.1/12552	health center
hdl:1902.1/12552	dental care
hdl:1902.1/12552	specialist care
hdl:1902.1/12552	vision care
hdl:1902.1/12552	mental health care
hdl:1902.1/12552	counseling
hdl:1902.1/12552	substance abuse treatment
hdl:1902.1/12552	home health care
hdl:1902.1/12552	mobility aid
hdl:1902.1/12552	mobility device
hdl:1902.1/12552	communication aid
hdl:1902.1/12552	communication device
hdl:1902.1/12552	medical supplies
hdl:1902.1/12552	medical equipment
hdl:1902.1/12552	professional care coordination
hdl:1902.1/12552	respite care
hdl:1902.1/12552	genetic counseling
hdl:1902.1/12552	vocational rehabilitation
hdl:1902.1/12552	title v
hdl:1902.1/12552	title 5
hdl:1902.1/12552	title five
hdl:1902.1/12552	vocational training
hdl:1902.1/12552	career training
hdl:1902.1/12552	health insurance
hdl:1902.1/12552	health care
hdl:1902.1/12552	healthcare
hdl:1902.1/12552	medicaid
hdl:1902.1/12552	state children's health insurance program
hdl:1902.1/12552	schip
hdl:1902.1/12552	military care
hdl:1902.1/12552	tricare
hdl:1902.1/12552	champus
hdl:1902.1/12552	champ-va
hdl:1902.1/12552	medicare
hdl:1902.1/12552	children
hdl:1902.1/13849	response function
hdl:1902.1/13849	shocks
hdl:1902.1/13849	gdp
hdl:1902.1/13849	economic growth
hdl:1902.1/13849	prediction
hdl:1902.1/13849	modelling
hdl:1902.1/13849	optimal policy
hdl:1902.1/14460	party composition
hdl:1902.1/14497	economics
hdl:1902.1/14497	growth
hdl:1902.1/14910	party composition
hdl:1902.1/14947	council
hdl:1902.1/14947	dick murphy
hdl:1902.1/14947	housing
hdl:1902.1/14947	vicente fox
hdl:1902.1/14947	steve peace
hdl:1902.1/14947	schools
hdl:1902.1/14947	gray davis
hdl:1902.1/14947	utilities
hdl:1902.1/14947	health
hdl:1902.1/14947	border control
hdl:1902.1/14947	airport
hdl:1902.1/14947	mexico
hdl:1902.1/14947	ethnicity
hdl:1902.1/14947	jobs
hdl:1902.1/14947	traffic
hdl:1902.1/14947	energy
hdl:1902.1/14947	beaches
hdl:1902.1/14947	crime
hdl:1902.1/15351	us counties
hdl:1902.1/15351	panel regression
hdl:1902.1/15351	educational attainment
hdl:1902.1/15676	party composition
hdl:1902.1/15801	judicial politics
hdl:1902.1/16080	education
hdl:1902.1/16080	religion
hdl:1902.1/16080	democracy
hdl:1902.1/17052	groundnut
hdl:1902.1/17052	infrared spectroscopy
hdl:1902.1/17052	nutrient constraints
hdl:1902.1/17052	small-scale farmers
hdl:1902.1/17052	soil fertility indices
hdl:1902.1/17089	hog production
hdl:1902.1/17089	household survey
hdl:1902.1/17089	livestock
hdl:1902.1/17296	liability insurance claims
hdl:1902.1/17296	torts
hdl:1902.1/17296	texas
hdl:1902.1/17458	sovereign debt
hdl:1902.1/17584	population
hdl:1902.1/17584	idaho
hdl:1902.1/17584	census
hdl:1902.1/17584	statistics
hdl:1902.1/17584	environment
hdl:1902.1/17584	economy
hdl:1902.1/17584	public
hdl:1902.1/17746	cameroon
hdl:1902.1/17746	mycoorrhizal
hdl:1902.1/17746	agroforestry systems
hdl:1902.1/17746	irvingia gabonensis
hdl:1902.1/17953	wheat
hdl:1902.1/17953	trade
hdl:1902.1/17953	egypt
hdl:1902.1/18349	inequality
hdl:1902.1/18349	poverty
hdl:1902.1/18349	stochastic processes
hdl:1902.1/18349	wellbeing measurement
hdl:1902.1/18763	parboiling methods
hdl:1902.1/18763	quality
hdl:1902.1/18763	rice
hdl:1902.1/18763	benin
hdl:1902.1/19861	areas affected
hdl:1902.1/19861	hurricane felix
hdl:1902.1/19898	pis pis
hdl:1902.1/19898	watershed
hdl:1902.1/20120	elevation
hdl:1902.1/20201	agroindustrial
hdl:1902.1/20201	structure
hdl:1902.1/01979	congressional districts
hdl:1902.1/01979	election returns
hdl:1902.1/01979	elections
hdl:1902.1/01979	local elections
hdl:1902.1/01979	national elections
hdl:1902.1/01979	redistrcting
hdl:1902.1/01979	state elections
hdl:1902.1/01979	voter registration
hdl:1902.1/01979	voter turnout
hdl:1902.1/01979	voting behavior
hdl:1902.1/01979	voting precints
hdl:1902.1/01979	election districts
hdl:1902.1/10276	combatants and noncombatants
hdl:1902.1/10276	civilian war casualties
hdl:1902.1/10645	microarrays
hdl:1902.1/10645	correlation structure
hdl:1902.1/10645	gene expression
hdl:1902.1/11004	shopping
hdl:1902.1/11004	automobile ownership
hdl:1902.1/11004	home ownership
hdl:1902.1/11004	womens movement
hdl:1902.1/11004	consumer purchases
hdl:1902.1/11004	durable goods
hdl:1902.1/11004	radios
hdl:1902.1/11004	public opinion
hdl:1902.1/11004	furniture
hdl:1902.1/11004	education
hdl:1902.1/11004	consumer behavior
hdl:1902.1/11004	attitudes
hdl:1902.1/11004	perceptions
hdl:1902.1/11004	television viewing
hdl:1902.1/11004	banking
hdl:1902.1/11004	personal income
hdl:1902.1/11004	products
hdl:1902.1/11004	restaurants
hdl:1902.1/11004	political ideologies
hdl:1902.1/11004	occupation
hdl:1902.1/11004	health insurance
hdl:1902.1/11004	marketing
hdl:1902.1/11004	media use
hdl:1902.1/11004	biographical data
hdl:1902.1/11004	trust
hdl:1902.1/11004	medical care
hdl:1902.1/11004	psychographics
hdl:1902.1/11004	leisure
hdl:1902.1/11004	news media
hdl:1902.1/11004	research
hdl:1902.1/11004	social attitudes
hdl:1902.1/11004	social values
hdl:1902.1/11004	consumer attitudes
hdl:1902.1/11004	food
hdl:1902.1/11004	newspapers
hdl:1902.1/11004	property repairs
hdl:1902.1/11086	consumer behavior
hdl:1902.1/11086	education
hdl:1902.1/11086	furniture
hdl:1902.1/11086	public opinion
hdl:1902.1/11086	radios
hdl:1902.1/11086	durable goods
hdl:1902.1/11086	consumer purchases
hdl:1902.1/11086	womens movement
hdl:1902.1/11086	home ownership
hdl:1902.1/11086	automobile ownership
hdl:1902.1/11086	property repairs
hdl:1902.1/11086	shopping
hdl:1902.1/11086	newspapers
hdl:1902.1/11086	food
hdl:1902.1/11086	consumer attitudes
hdl:1902.1/11086	social values
hdl:1902.1/11086	social attitudes
hdl:1902.1/11086	research
hdl:1902.1/11086	news media
hdl:1902.1/11086	leisure
hdl:1902.1/11086	psychographics
hdl:1902.1/11086	medical care
hdl:1902.1/11086	trust
hdl:1902.1/11086	biographical data
hdl:1902.1/11086	media use
hdl:1902.1/11086	marketing
hdl:1902.1/11086	health insurance
hdl:1902.1/11086	occupation
hdl:1902.1/11086	political ideologies
hdl:1902.1/11086	restaurants
hdl:1902.1/11086	products
hdl:1902.1/11086	personal income
hdl:1902.1/11086	banking
hdl:1902.1/11086	television viewing
hdl:1902.1/11086	perceptions
hdl:1902.1/11086	attitudes
hdl:1902.1/12472	prescription drugs
hdl:1902.1/12472	prescription medicine
hdl:1902.1/12472	global health
hdl:1902.1/12472	tb
hdl:1902.1/12472	medicare
hdl:1902.1/12472	tuberculosis
hdl:1902.1/12472	individual insurance
hdl:1902.1/12472	employer sponsored insurance
hdl:1902.1/12472	statehealthfacts
hdl:1902.1/12472	health care costs
hdl:1902.1/12472	globalhealthfacts
hdl:1902.1/12472	health reform
hdl:1902.1/12472	chip
hdl:1902.1/12472	children's health insurance program
hdl:1902.1/12472	medicaid
hdl:1902.1/12472	schip
hdl:1902.1/12472	state children's health insurance program
hdl:1902.1/12472	health insurance
hdl:1902.1/12472	human immunodeficiency virus
hdl:1902.1/12472	acquired immunodeficiency syndrome
hdl:1902.1/12472	video
hdl:1902.1/12472	television
hdl:1902.1/12472	internet
hdl:1902.1/12472	media
hdl:1902.1/12472	reproductive health
hdl:1902.1/12472	women's health
hdl:1902.1/12472	racial disparities
hdl:1902.1/12472	minority health
hdl:1902.1/12472	aids
hdl:1902.1/12472	hiv
hdl:1902.1/12472	state budgets
hdl:1902.1/12472	state health policies
hdl:1902.1/12472	malaria
hdl:1902.1/12472	health coverage
hdl:1902.1/12472	access to care
hdl:1902.1/12472	uninsured
hdl:1902.1/12472	healthcare costs
hdl:1902.1/13363	smi
hdl:1902.1/13363	state median income
hdl:1902.1/13363	income tax liability
hdl:1902.1/13363	fpl
hdl:1902.1/13363	federal poverty level
hdl:1902.1/13363	unemployment insurance
hdl:1902.1/13363	minimum wage standards
hdl:1902.1/13363	child and dependent care tax credit
hdl:1902.1/13363	family leave
hdl:1902.1/13363	unsubsidized child care
hdl:1902.1/13363	subsidized child care
hdl:1902.1/13363	childcare
hdl:1902.1/13363	child care
hdl:1902.1/13363	ccdf
hdl:1902.1/13363	child care and development fund subsidies
hdl:1902.1/13363	healthcare
hdl:1902.1/13363	health care
hdl:1902.1/13363	public health insurance
hdl:1902.1/13363	eitc
hdl:1902.1/13363	earned income tax credit
hdl:1902.1/13363	tanf
hdl:1902.1/13363	temporary assistance to needy families
hdl:1902.1/13363	section 8 housing vouchers
hdl:1902.1/13363	food stamps
hdl:1902.1/13363	poverty
hdl:1902.1/13363	work support
hdl:1902.1/13363	child
hdl:1902.1/13363	adolescent
hdl:1902.1/13363	medicaid
hdl:1902.1/13363	medical leave
hdl:1902.1/13363	paid leave
hdl:1902.1/13363	unpaid leave
hdl:1902.1/13363	immigrant
hdl:1902.1/13363	childcare
hdl:1902.1/13363	child care
hdl:1902.1/13363	children
hdl:1902.1/13363	state children's health insurance program
hdl:1902.1/13363	schip
hdl:1902.1/13363	parental education
hdl:1902.1/13363	parental employment
hdl:1902.1/13363	residential move
hdl:1902.1/13363	parental presence
hdl:1902.1/13363	home ownership
hdl:1902.1/13363	parental nativity
hdl:1902.1/13570	healthy eating
hdl:1902.1/13570	healthy living
hdl:1902.1/13570	interventions for children
hdl:1902.1/13570	local food systems
hdl:1902.1/13570	partnership building
hdl:1902.1/13570	physical activity
hdl:1902.1/13570	built environment
hdl:1902.1/13570	nutrition
hdl:1902.1/13570	diet
hdl:1902.1/13570	obesity
hdl:1902.1/13570	schools
hdl:1902.1/13606	small and medium enterprises
hdl:1902.1/14010	circuit theory
hdl:1902.1/14010	endogenous money
hdl:1902.1/14461	party composition
hdl:1902.1/14498	party composition
hdl:1902.1/14786	party composition
hdl:1902.1/14911	party composition
hdl:1902.1/14948	redistricting
hdl:1902.1/14948	north
hdl:1902.1/14948	amensty
hdl:1902.1/14948	minority
hdl:1902.1/14948	south
hdl:1902.1/14948	guest worker
hdl:1902.1/14948	supervisors
hdl:1902.1/14993	plaintiff's report
hdl:1902.1/15389	party composition
hdl:1902.1/15640	household- and community-level surveys
hdl:1902.1/15677	party composition
hdl:1902.1/16199	separation plot
hdl:1902.1/17297	texas
hdl:1902.1/17297	liability insurance claims
hdl:1902.1/17297	torts
hdl:1902.1/17585	economy
hdl:1902.1/17585	census
hdl:1902.1/17585	population
hdl:1902.1/17585	public
hdl:1902.1/17585	statistics
hdl:1902.1/17585	idaho
hdl:1902.1/17585	environment
hdl:1902.1/17792	grafted
hdl:1902.1/17792	alive
hdl:1902.1/17792	theobroma cacao
hdl:1902.1/17792	dead and success
hdl:1902.1/17954	egypt
hdl:1902.1/17954	subsidized food expenses
hdl:1902.1/17954	anthropometrics
hdl:1902.1/17954	household survey
hdl:1902.1/18313	party composition
hdl:1902.1/19862	central america
hdl:1902.1/19862	eoregions
hdl:1902.1/19899	1990
hdl:1902.1/19899	forest
hdl:1902.1/19899	area
hdl:1902.1/19943	soil classification
hdl:1902.1/19943	geology
hdl:1902.1/20040	departments
hdl:1902.1/20121	elevation
hdl:1902.1/20158	environment
hdl:1902.1/20158	lakes
hdl:1902.1/20202	structure
hdl:1902.1/20202	agroindustrial
hdl:1902.1/21670	survival
hdl:1902.1/21670	flood tolerant
hdl:1902.1/21670	long-term stagnant flooding
hdl:1902.1/21670	quantitative trait loci
hdl:1902.1/21670	sub1
hdl:1902.1/10646	hierarchical models
hdl:1902.1/10646	text analysis
hdl:1902.1/10646	variational methods
hdl:1902.1/10646	approximate posterior inference
hdl:1902.1/11005	property repairs
hdl:1902.1/11005	newspapers
hdl:1902.1/11005	food
hdl:1902.1/11005	consumer attitudes
hdl:1902.1/11005	social values
hdl:1902.1/11005	social attitudes
hdl:1902.1/11005	research
hdl:1902.1/11005	news media
hdl:1902.1/11005	leisure
hdl:1902.1/11005	psychographics
hdl:1902.1/11005	medical care
hdl:1902.1/11005	trust
hdl:1902.1/11005	biographical data
hdl:1902.1/11005	media use
hdl:1902.1/11005	marketing
hdl:1902.1/11005	health insurance
hdl:1902.1/11005	occupation
hdl:1902.1/11005	political ideologies
hdl:1902.1/11005	restaurants
hdl:1902.1/11005	products
hdl:1902.1/11005	personal income
hdl:1902.1/11005	banking
hdl:1902.1/11005	television viewing
hdl:1902.1/11005	perceptions
hdl:1902.1/11005	attitudes
hdl:1902.1/11005	consumer behavior
hdl:1902.1/11005	education
hdl:1902.1/11005	furniture
hdl:1902.1/11005	public opinion
hdl:1902.1/11005	radios
hdl:1902.1/11005	durable goods
hdl:1902.1/11005	consumer purchases
hdl:1902.1/11005	womens movement
hdl:1902.1/11005	home ownership
hdl:1902.1/11005	automobile ownership
hdl:1902.1/11005	shopping
hdl:1902.1/11050	consumer behavior
hdl:1902.1/11050	automobile ownership
hdl:1902.1/11050	home ownership
hdl:1902.1/11050	womens movement
hdl:1902.1/11050	consumer purchases
hdl:1902.1/11050	durable goods
hdl:1902.1/11050	radios
hdl:1902.1/11050	public opinion
hdl:1902.1/11050	furniture
hdl:1902.1/11050	education
hdl:1902.1/11050	property repairs
hdl:1902.1/11050	shopping
hdl:1902.1/11050	newspapers
hdl:1902.1/11050	food
hdl:1902.1/11050	consumer attitudes
hdl:1902.1/11050	social values
hdl:1902.1/11050	social attitudes
hdl:1902.1/11050	research
hdl:1902.1/11050	news media
hdl:1902.1/11050	leisure
hdl:1902.1/11050	psychographics
hdl:1902.1/11050	medical care
hdl:1902.1/11050	trust
hdl:1902.1/11050	biographical data
hdl:1902.1/11050	media use
hdl:1902.1/11050	marketing
hdl:1902.1/11050	health insurance
hdl:1902.1/11050	occupation
hdl:1902.1/11050	political ideologies
hdl:1902.1/11050	restaurants
hdl:1902.1/11050	products
hdl:1902.1/11050	personal income
hdl:1902.1/11050	banking
hdl:1902.1/11050	television viewing
hdl:1902.1/11050	perceptions
hdl:1902.1/11050	attitudes
hdl:1902.1/12185	supreme court
hdl:1902.1/12185	religious establishment
hdl:1902.1/12185	school prayer
hdl:1902.1/12185	first amendment
hdl:1902.1/12185	public schools
hdl:1902.1/12185	policy compliance
hdl:1902.1/12509	staffing
hdl:1902.1/12509	bioterrorism
hdl:1902.1/12509	emergency preparedness
hdl:1902.1/12509	electronic medical records
hdl:1902.1/12509	emr
hdl:1902.1/12509	national center for health statistics
hdl:1902.1/12509	national ambulatory medical care survey
hdl:1902.1/12509	national hospital ambulatory medical care survey
hdl:1902.1/12509	national nursing home survey
hdl:1902.1/12509	national home and hospice care survey
hdl:1902.1/12509	national survey of ambulatory surgery
hdl:1902.1/12509	national hospital discharge surgery
hdl:1902.1/12509	cdc
hdl:1902.1/12509	centers for disease control and prevention
hdl:1902.1/12509	provider
hdl:1902.1/12509	physician
hdl:1902.1/12509	emergency room
hdl:1902.1/12509	emergency department
hdl:1902.1/12509	outpatient
hdl:1902.1/12509	inpatient
hdl:1902.1/12509	hospitals
hdl:1902.1/12509	ambulatory services
hdl:1902.1/12509	home care
hdl:1902.1/12509	hospice
hdl:1902.1/12509	nursing home
hdl:1902.1/12509	ambulatory health care data
hdl:1902.1/12509	hospital discharge
hdl:1902.1/12509	home and hospice care
hdl:1902.1/12509	patient safety
hdl:1902.1/12509	quality
hdl:1902.1/12509	health care disparities
hdl:1902.1/12509	resources
hdl:1902.1/12509	costs
hdl:1902.1/12554	mental health
hdl:1902.1/12554	limitation in abilities
hdl:1902.1/12554	physical therapy
hdl:1902.1/12554	occupational therapy
hdl:1902.1/12554	speech therapy
hdl:1902.1/12554	emotional problem
hdl:1902.1/12554	behavioral problem
hdl:1902.1/12554	developmental problem
hdl:1902.1/12554	learning disability
hdl:1902.1/12554	asthma
hdl:1902.1/12554	vision
hdl:1902.1/12554	hearing
hdl:1902.1/12554	attention deficit disorder
hdl:1902.1/12554	add
hdl:1902.1/12554	attention deficit hyperactive disorder
hdl:1902.1/12554	adhd
hdl:1902.1/12554	anxiety
hdl:1902.1/12554	conduct problems
hdl:1902.1/12554	bone problems
hdl:1902.1/12554	joint problems
hdl:1902.1/12554	muscle problems
hdl:1902.1/12554	diabetes
hdl:1902.1/12554	autism
hdl:1902.1/12554	developmental delay
hdl:1902.1/12554	physical impairment
hdl:1902.1/12554	respiratory allergy
hdl:1902.1/12554	digestive allergy
hdl:1902.1/12554	skin allergy
hdl:1902.1/12554	headache
hdl:1902.1/12554	migraine
hdl:1902.1/12554	stuttering
hdl:1902.1/12554	stammering
hdl:1902.1/12554	speech problems
hdl:1902.1/12554	ear infections
hdl:1902.1/12554	dental health
hdl:1902.1/12554	dentist
hdl:1902.1/12554	health care coverage
hdl:1902.1/12554	health insurance
hdl:1902.1/12554	healthcare
hdl:1902.1/12554	health maintenance organization
hdl:1902.1/12554	hmo
hdl:1902.1/12554	medical care
hdl:1902.1/12554	sick-child care
hdl:1902.1/12554	well-child visit
hdl:1902.1/12554	accident
hdl:1902.1/12554	injury
hdl:1902.1/12554	poisoning
hdl:1902.1/12554	emergency room
hdl:1902.1/12554	hepatitis a vaccine
hdl:1902.1/12554	hepatitis b vaccine
hdl:1902.1/12554	pediatrician
hdl:1902.1/12554	specialist
hdl:1902.1/12554	nurse practitioner
hdl:1902.1/12554	physician's assistant
hdl:1902.1/12554	preventative care
hdl:1902.1/12554	medical equipment
hdl:1902.1/12554	wheelchair
hdl:1902.1/12554	interpreter
hdl:1902.1/12554	child learning
hdl:1902.1/12554	child development
hdl:1902.1/12554	child care
hdl:1902.1/12554	childcare
hdl:1902.1/12554	nursery school
hdl:1902.1/12554	preschool
hdl:1902.1/12554	kindergarten
hdl:1902.1/12554	head start
hdl:1902.1/12554	early start
hdl:1902.1/12554	breastfeeding
hdl:1902.1/12554	public school
hdl:1902.1/12554	private school
hdl:1902.1/12554	home-school
hdl:1902.1/12554	school enrollment
hdl:1902.1/12554	school absence
hdl:1902.1/12554	exercise
hdl:1902.1/12554	physical activity
hdl:1902.1/12554	sports
hdl:1902.1/12554	computer use
hdl:1902.1/12554	television
hdl:1902.1/12554	tv
hdl:1902.1/12554	video games
hdl:1902.1/12554	videos
hdl:1902.1/12554	self-esteem
hdl:1902.1/12554	stress
hdl:1902.1/12554	learning difficulties
hdl:1902.1/12554	depression
hdl:1902.1/12554	eating disorder
hdl:1902.1/12554	substance abuse
hdl:1902.1/12554	bullied
hdl:1902.1/12554	bullying
hdl:1902.1/12554	home violence
hdl:1902.1/12554	school violence
hdl:1902.1/12554	neighborhood violence
hdl:1902.1/12554	family functioning
hdl:1902.1/12554	parental health
hdl:1902.1/12554	medicare
hdl:1902.1/12554	neighborhood
hdl:1902.1/12554	neighborhood safety
hdl:1902.1/12554	child
hdl:1902.1/12554	children
hdl:1902.1/12554	educational services
hdl:1902.1/12554	school experience
hdl:1902.1/12554	family interaction
hdl:1902.1/12554	medical home
hdl:1902.1/12554	child well-being
hdl:1902.1/12554	slaits
hdl:1902.1/12554	cdc
hdl:1902.1/12554	centers for disease control and prevention
hdl:1902.1/12554	after-school experiences
hdl:1902.1/12554	safe neighborhoods
hdl:1902.1/12554	child health
hdl:1902.1/12554	child's health
hdl:1902.1/12554	children's health
hdl:1902.1/12554	health care
hdl:1902.1/12554	prescription medicine
hdl:1902.1/12554	medical condition
hdl:1902.1/12554	behavioral condition
hdl:1902.1/12680	governance
hdl:1902.1/12680	reform
hdl:1902.1/12680	exit exams
hdl:1902.1/12680	graduation requirements
hdl:1902.1/12680	graduation rate measurement
hdl:1902.1/12680	dropout prevention
hdl:1902.1/12680	high school
hdl:1902.1/12680	ell
hdl:1902.1/12680	english language learners
hdl:1902.1/12680	virtual learning
hdl:1902.1/12680	online learning
hdl:1902.1/12680	distance learning
hdl:1902.1/12680	class size
hdl:1902.1/12680	technical education
hdl:1902.1/12680	career education
hdl:1902.1/12680	intimidation
hdl:1902.1/12680	harassment
hdl:1902.1/12680	bully
hdl:1902.1/12680	bullying
hdl:1902.1/12680	student testing
hdl:1902.1/12680	american recovery and reinvestment act
hdl:1902.1/12680	arra
hdl:1902.1/12680	alternative education
hdl:1902.1/12680	after school program
hdl:1902.1/12680	education
hdl:1902.1/12680	schools
hdl:1902.1/12680	bill
hdl:1902.1/12680	legislation
hdl:1902.1/12680	national conference of state legislatures
hdl:1902.1/12680	children
hdl:1902.1/12680	child
hdl:1902.1/12680	retention
hdl:1902.1/12680	recruitment
hdl:1902.1/12680	professional development
hdl:1902.1/12680	teacher preparation
hdl:1902.1/12680	certification
hdl:1902.1/12680	teacher licensure
hdl:1902.1/12680	teacher mentoring
hdl:1902.1/12680	teacher induction
hdl:1902.1/12680	employment
hdl:1902.1/12680	compensation
hdl:1902.1/12680	teacher issues
hdl:1902.1/12680	student drug testing
hdl:1902.1/12680	student attendance
hdl:1902.1/12680	science
hdl:1902.1/12680	technology
hdl:1902.1/12680	engineering and mathematics
hdl:1902.1/12680	stem
hdl:1902.1/12680	state fiscal stabilization fund
hdl:1902.1/12680	sfsf
hdl:1902.1/12680	community service
hdl:1902.1/12680	service learning
hdl:1902.1/12680	vouchers
hdl:1902.1/12680	tax deductions
hdl:1902.1/12680	tax credits
hdl:1902.1/12680	home schooling
hdl:1902.1/12680	charter schools
hdl:1902.1/12680	school choice
hdl:1902.1/12680	moment of silence
hdl:1902.1/12680	prayer
hdl:1902.1/12680	religion
hdl:1902.1/12680	literacy
hdl:1902.1/12680	reading
hdl:1902.1/12680	vocational education
hdl:1902.1/12680	postsecondary undocumented students
hdl:1902.1/12680	postsecondary fees
hdl:1902.1/12680	postsecondary tuition
hdl:1902.1/12680	postsecondary transfer
hdl:1902.1/12680	textbook
